epoch:0, train_loss:0.0024067486828957345, vali_loss:0.0023374040109329017
epoch:1, train_loss:0.0018257346950183002, vali_loss:0.002037479080915456
epoch:2, train_loss:0.0017985170806758708, vali_loss:0.002026729718713347
epoch:3, train_loss:0.0017676523449861787, vali_loss:0.0019688425586344904
epoch:4, train_loss:0.0017503037712746756, vali_loss:0.0020154824889277094
epoch:5, train_loss:0.0017303250924109127, vali_loss:0.001981104011526479
epoch:6, train_loss:0.0017322800121352794, vali_loss:0.0019127114096270713
epoch:7, train_loss:0.0017247882278144048, vali_loss:0.0019396466581588676
epoch:8, train_loss:0.0017062421725041262, vali_loss:0.001935322754485549
epoch:9, train_loss:0.0017093954113501957, vali_loss:0.0019326033115005335
epoch:10, train_loss:0.001720130828132337, vali_loss:0.0019136039486575484
epoch:11, train_loss:0.0017120844523051473, vali_loss:0.0019402184185361273
epoch:12, train_loss:0.001703457234896978, vali_loss:0.001948653589890045
epoch:13, train_loss:0.0017121887363366983, vali_loss:0.002008937534106146
epoch:14, train_loss:0.0017015675898843692, vali_loss:0.0019423590411079973
epoch:15, train_loss:0.001706078057578183, vali_loss:0.0019253357045080277
epoch:16, train_loss:0.0017103627738516852, vali_loss:0.0019602561241184265
epoch:17, train_loss:0.0017052115259089781, vali_loss:0.0019440351395939909
epoch:18, train_loss:0.001707289342576446, vali_loss:0.0019620275259666425
epoch:19, train_loss:0.0017068055644445003, vali_loss:0.0019269868023168873
epoch:20, train_loss:0.0017024942944483972, vali_loss:0.001964368398340655
epoch:21, train_loss:0.0016988388625308495, vali_loss:0.001922803403892469
epoch:22, train_loss:0.0016972454121822037, vali_loss:0.001943277629808864
epoch:23, train_loss:0.0016991304419655495, vali_loss:0.00192600771097973
epoch:24, train_loss:0.0016951161223130223, vali_loss:0.0019019576802876005
epoch:25, train_loss:0.0016983041924363597, vali_loss:0.0019207012891469353
epoch:26, train_loss:0.0016943632190497071, vali_loss:0.0018955081851204404
epoch:27, train_loss:0.0016983536474180908, vali_loss:0.0019550132552390545
epoch:28, train_loss:0.0016909777904030806, vali_loss:0.0019184551370849926
epoch:29, train_loss:0.0016963568642994957, vali_loss:0.00195888733864015
epoch:30, train_loss:0.001691527933827005, vali_loss:0.001958205804481289
epoch:31, train_loss:0.0016943106300356997, vali_loss:0.001949249463328849
