epoch:0, train_loss:0.08000033454776838, vali_loss:0.009952333473068262
epoch:1, train_loss:0.009846391323411934, vali_loss:0.006315138506969171
epoch:2, train_loss:0.009661658122585605, vali_loss:0.00956114792331521
epoch:3, train_loss:0.009472952228830324, vali_loss:0.009385640791151673
epoch:4, train_loss:0.009299395029364829, vali_loss:0.005703628204563367
epoch:5, train_loss:0.009023707342466564, vali_loss:0.008706069750977414
epoch:6, train_loss:0.008635266041704294, vali_loss:0.008045141676640404
epoch:7, train_loss:0.007950878693573658, vali_loss:0.006839827335040484
epoch:8, train_loss:0.006734096856862066, vali_loss:0.00523050754106537
epoch:9, train_loss:0.0057454624497793325, vali_loss:0.004605160543828138
epoch:10, train_loss:0.005215317219122441, vali_loss:0.004158673941024712
epoch:11, train_loss:0.004667206745266569, vali_loss:0.0038441085000938202
epoch:12, train_loss:0.0043876108992945174, vali_loss:0.004036128219533046
epoch:13, train_loss:0.004551661894169981, vali_loss:0.003902429116091558
epoch:14, train_loss:0.004402283922837372, vali_loss:0.003693578247163844
epoch:15, train_loss:0.004012520686987485, vali_loss:0.0037533218814392705
epoch:16, train_loss:0.00398263640350894, vali_loss:0.003832203311113907
epoch:17, train_loss:0.004005032110869471, vali_loss:0.005262224045249501
epoch:18, train_loss:0.004249528000024117, vali_loss:0.0039402332123635074
epoch:19, train_loss:0.0039035158656745275, vali_loss:0.004202632609251721
epoch:20, train_loss:0.00381720165136483, vali_loss:0.0035244729120417367
epoch:21, train_loss:0.0037300656846315995, vali_loss:0.003292440972083049
epoch:22, train_loss:0.003874554711226916, vali_loss:0.005143772290986297
epoch:23, train_loss:0.0039347669947127194, vali_loss:0.0035848065532003864
epoch:24, train_loss:0.0037739464371419483, vali_loss:0.0035514217088348232
epoch:25, train_loss:0.0034934478434761646, vali_loss:0.003267061979775982
epoch:26, train_loss:0.003601405614972464, vali_loss:0.0031037637558516246
epoch:27, train_loss:0.00365150557495483, vali_loss:0.0032744554191594943
epoch:28, train_loss:0.00397459269918821, vali_loss:0.0030300593966135886
epoch:29, train_loss:0.003652747125152959, vali_loss:0.003656157579306247
epoch:30, train_loss:0.003341010340214968, vali_loss:0.0033159364705040517
epoch:31, train_loss:0.0034970226086380564, vali_loss:0.002904426340787073
