epoch:0, train_loss:0.0009566341153486883, test_loss:0.0008767991127433395
epoch:1, train_loss:0.0008337391657786922, test_loss:0.0008708019670096639
epoch:2, train_loss:0.0008330594994241903, test_loss:0.0008942436009922962
epoch:3, train_loss:0.000830755881521813, test_loss:0.0008663800953870763
epoch:4, train_loss:0.000830461186265312, test_loss:0.0008703861196577775
epoch:5, train_loss:0.0008301577901938975, test_loss:0.0008731766202034788
epoch:6, train_loss:0.0008307959406853493, test_loss:0.0008818953116817408
epoch:7, train_loss:0.0008298133301008109, test_loss:0.00087574717144223
epoch:8, train_loss:0.0008303158481858058, test_loss:0.0008802846606876088
epoch:9, train_loss:0.000829903964208712, test_loss:0.0008792873787004747
epoch:10, train_loss:0.0008294121562727231, test_loss:0.0008711053385315711
epoch:11, train_loss:0.0008301081629932825, test_loss:0.0008670594917965966
epoch:12, train_loss:0.0008301065039264172, test_loss:0.0008957470527415436
epoch:13, train_loss:0.0008288867438769888, test_loss:0.0008754684696875954
epoch:14, train_loss:0.0008294964276131778, test_loss:0.000875539898332622
