epoch:0, train_loss:0.0009409970518541267, test_loss:0.0008769777003933849
epoch:1, train_loss:0.0008346556764237215, test_loss:0.0008748772785806383
epoch:2, train_loss:0.0008321388440595749, test_loss:0.0008688669529450251
epoch:3, train_loss:0.0008308696200687957, test_loss:0.0008837751343963269
epoch:4, train_loss:0.0008293361908660169, test_loss:0.000867865132057952
epoch:5, train_loss:0.0008296039287014077, test_loss:0.0008696670098883675
epoch:6, train_loss:0.0008289519918507747, test_loss:0.0008662690469940398
epoch:7, train_loss:0.0008288434341418551, test_loss:0.0008705680567569318
epoch:8, train_loss:0.0008283548741408387, test_loss:0.0009036287148676413
epoch:9, train_loss:0.0008278818546084662, test_loss:0.0008757556773798237
epoch:10, train_loss:0.0008285023561035384, test_loss:0.0008700300890350586
epoch:11, train_loss:0.0008281124536587101, test_loss:0.0008744573159140326
epoch:12, train_loss:0.0008285388412318825, test_loss:0.0008777169305242987
epoch:13, train_loss:0.0008280013810768153, test_loss:0.0008788781738114936
epoch:14, train_loss:0.0008279709781349209, test_loss:0.0008800130697079164
