epoch:0, train_loss:0.002324407638341979, eval_loss:0.001715896362770519
epoch:1, train_loss:0.0017058829543826401, eval_loss:0.0016567209002368228
epoch:2, train_loss:0.0016750012691554986, eval_loss:0.0016514940918758326
epoch:3, train_loss:0.001673101573305438, eval_loss:0.0016565438353909508
epoch:4, train_loss:0.001670540245285112, eval_loss:0.001646031437705928
epoch:5, train_loss:0.0016695450364465915, eval_loss:0.0016752598433295261
epoch:6, train_loss:0.0016665441819937845, eval_loss:0.0016576922030550774
epoch:7, train_loss:0.001666063921642622, eval_loss:0.001640604948319246
epoch:8, train_loss:0.0016667826270965256, eval_loss:0.0016810099240764128
epoch:9, train_loss:0.0016650492242065139, eval_loss:0.00167081886784977
epoch:10, train_loss:0.0016650942270117746, eval_loss:0.0016484453324054238
epoch:11, train_loss:0.0016626848887074195, eval_loss:0.0016347205388188137
epoch:12, train_loss:0.0016658667735626495, eval_loss:0.00165631836799233
epoch:13, train_loss:0.001662775447617003, eval_loss:0.0016766391974859685
epoch:14, train_loss:0.001664842917519781, eval_loss:0.0016518296365330737
