epoch:0, train_loss:0.056891401467949215, vali_loss:0.01023633828819064
epoch:1, train_loss:0.009988895250867715, vali_loss:0.009228668400152986
epoch:2, train_loss:0.00969401415631151, vali_loss:0.009333125610802588
epoch:3, train_loss:0.00917284870781165, vali_loss:0.008530908455473505
epoch:4, train_loss:0.008198477020728049, vali_loss:0.0070431620448029465
epoch:5, train_loss:0.006767294802181101, vali_loss:0.005475329750749681
epoch:6, train_loss:0.0053196954153275425, vali_loss:0.0043049734065009814
epoch:7, train_loss:0.0046976875966783125, vali_loss:0.0038354221968412666
epoch:8, train_loss:0.004457309805353549, vali_loss:0.005040051353197279
epoch:9, train_loss:0.004053433563340463, vali_loss:0.003736457475367518
epoch:10, train_loss:0.003862465124163056, vali_loss:0.005868891673994118
epoch:11, train_loss:0.004140667924385243, vali_loss:0.00369232109265535
epoch:12, train_loss:0.003925741614097958, vali_loss:0.0034404771452370498
epoch:13, train_loss:0.0037714116047184157, vali_loss:0.003485586585676564
epoch:14, train_loss:0.003745694005343027, vali_loss:0.0032629852628036004
epoch:15, train_loss:0.0037963073123294102, vali_loss:0.004378537370939739
epoch:16, train_loss:0.003915085175102486, vali_loss:0.003462273723146479
epoch:17, train_loss:0.003989892596846716, vali_loss:0.0033144416811410338
epoch:18, train_loss:0.003663077534117198, vali_loss:0.003330856415102192
epoch:19, train_loss:0.003843008780175547, vali_loss:0.003551350707961579
epoch:20, train_loss:0.0040265630158312984, vali_loss:0.0031278661086357067
epoch:21, train_loss:0.003896347655552682, vali_loss:0.003401183371482018
epoch:22, train_loss:0.00403393943641841, vali_loss:0.0033322286513534243
epoch:23, train_loss:0.0036185848733990057, vali_loss:0.003447641747438216
epoch:24, train_loss:0.0038968321885727948, vali_loss:0.003178409883860565
epoch:25, train_loss:0.0038256541203485666, vali_loss:0.0037585471769229378
epoch:26, train_loss:0.0036474225926526587, vali_loss:0.0033391706705775243
epoch:27, train_loss:0.0036178235181507953, vali_loss:0.002670986663101108
epoch:28, train_loss:0.003635401538837147, vali_loss:0.002951037517050281
epoch:29, train_loss:0.003502500531606623, vali_loss:0.0033883742289617658
epoch:30, train_loss:0.003589537623501483, vali_loss:0.0036920949288677157
epoch:31, train_loss:0.0033926890176597477, vali_loss:0.0030947866881823366
