epoch:0, train_loss:0.057668568116837536, vali_loss:0.01048101018282718
epoch:1, train_loss:0.010261856543365866, vali_loss:0.00965285878711646
epoch:2, train_loss:0.00993439804432424, vali_loss:0.009708812472776376
epoch:3, train_loss:0.00940320413115089, vali_loss:0.008718876874939139
epoch:4, train_loss:0.008424794237161505, vali_loss:0.007084028404538653
epoch:5, train_loss:0.006911591059680836, vali_loss:0.005522923411003181
epoch:6, train_loss:0.00567597850636832, vali_loss:0.0024738829233683646
epoch:7, train_loss:0.004502131722080682, vali_loss:0.0039954871359181455
epoch:8, train_loss:0.004343023549028721, vali_loss:0.003317623316044254
epoch:9, train_loss:0.004126283509886607, vali_loss:0.003624411713514876
epoch:10, train_loss:0.003866483995242843, vali_loss:0.0037238384809045654
epoch:11, train_loss:0.0037315519370293196, vali_loss:0.0042714470889352795
epoch:12, train_loss:0.004111357365281006, vali_loss:0.0032531790950867745
epoch:13, train_loss:0.0039204537361942566, vali_loss:0.004808695853820869
epoch:14, train_loss:0.0037666710602871746, vali_loss:0.0033099016675675686
epoch:15, train_loss:0.0037580395030466928, vali_loss:0.0030245559859654997
epoch:16, train_loss:0.0036345413029015743, vali_loss:0.0035286643230522585
epoch:17, train_loss:0.003489537197373434, vali_loss:0.0036125374489139567
epoch:18, train_loss:0.003736741076228758, vali_loss:0.0037690295846134958
epoch:19, train_loss:0.0035805973211922564, vali_loss:0.0031718487620569897
epoch:20, train_loss:0.0036317069422599664, vali_loss:0.00355515000826147
epoch:21, train_loss:0.0038593477265435622, vali_loss:0.0032199699385923202
epoch:22, train_loss:0.0035364690965848395, vali_loss:0.0034232959567037013
epoch:23, train_loss:0.0035561469931994437, vali_loss:0.0031942465679354166
epoch:24, train_loss:0.003619740614371479, vali_loss:0.004009049880551174
epoch:25, train_loss:0.0036316597774014646, vali_loss:0.0033418228870557088
epoch:26, train_loss:0.0036107758950775265, vali_loss:0.0033286760974858354
epoch:27, train_loss:0.0035634642324645217, vali_loss:0.003115866174214586
epoch:28, train_loss:0.003714028369672476, vali_loss:0.0026106553497291835
epoch:29, train_loss:0.0035422462740762996, vali_loss:0.0033594867813267876
epoch:30, train_loss:0.003631165175867299, vali_loss:0.002933906207804934
epoch:31, train_loss:0.0035780261343210567, vali_loss:0.0037019376192932085
